Tag0,Tag1,Score
linux,ubuntu,1
linux,debian,1
linux,centos,3
linux,fedora,3
linux,arch-linux,3
linux,raspberry-pi,3
linux,opensuse,3
linux,linux-kernel,3
linux,slackware,3
linux,embedded-linux,3
ubuntu,virtualbox,2
ubuntu,linux-mint,3
ubuntu,kernel-panic,2
ubuntu,init,2
ubuntu,ubuntu-10.04,2
ubuntu,automount,2
ubuntu,gnome,2
ubuntu,sudo,2
ubuntu,gedit,2
ubuntu,emulation,2
ubuntu,networkmanager,2
ubuntu,sandbox,2
ubuntu,x-windows,2
ubuntu,arduino,2
ubuntu,kernel-module,2
ubuntu,ubuntu-unity,2
ubuntu,gtk,2
ubuntu,cron,2
ubuntu,vsftpd,2
ubuntu,xfce,2
ubuntu,ubuntu-server,2
ubuntu,kde,2
ubuntu,packages,2
ubuntu,eee-pc,2
ubuntu,fstab,2
ubuntu,x-server,2
ubuntu,gnome-shell,2
ubuntu,systemd,2
ubuntu,chroot,2
ubuntu,pulse-audio,2
ubuntu,users,2
ubuntu,syslog,2
ubuntu,linux-kernel,2
ubuntu,kubuntu,2
ubuntu,package-management,2
ubuntu,awesome-wm,2
ubuntu,udev,2
ubuntu,xrandr,2
ubuntu,livecd,2
ubuntu,wine,2
ubuntu,nautilus,2
ubuntu,lubuntu,2
ubuntu,apt,2
ubuntu,linux-kvm,2
ubuntu,xubuntu,1
ubuntu,apt-get,2
ubuntu,crontab,2
ubuntu,vmware-player,2
ubuntu,alsa,2
ubuntu,qemu,2
ubuntu,linux-distributions,2
ubuntu,cups,2
ubuntu,window-manager,3
ubuntu,vncserver,2
ubuntu,dpkg,2
ubuntu,aptitude,2
ubuntu,chmod,2
debian,linux-mint,3
debian,raspberry-pi,2
debian,gnome,2
debian,xfce,2
debian,packages,2
debian,systemd,2
debian,chroot,2
debian,package-management,2
debian,arm,2
debian,raspbian,2
debian,apt,2
debian,repository,2
debian,apt-get,2
debian,debian-wheezy,2
debian,debian-jessie,2
debian,dpkg,2
debian,debian-squeeze,2
debian,aptitude,2
virtualbox,centos,2
virtualbox,virtual-machine,2
virtualbox,vmware,2
virtualbox,virtualization,2
virtualbox,vagrant,2
virtualbox,vmware-player,3
virtualbox,snapshot,2
