Id,TagName,Count,ExcerptPostId,WikiPostId
298,opera,1157,,
4,bug,359,1368,1367
5,feature-request,346,7817,7816
6,discussion,2769,4279,4278
8,status-completed,648,1366,1365
9,status-declined,102,,
10,status-bydesign,124,,
16,support,1450,1364,1363
22,reputation,143,4224,4223
26,retag-request,288,4218,4217
27,tags,267,4220,4219
28,specific-question,167,4228,4227
29,questions,207,4226,4225
36,migration,100,4230,4229
37,closed-questions,172,4222,4221
39,answers,133,4246,4245
44,editing,131,4232,4231
87,comments,102,4240,4239
121,reopen-request,117,4234,4233
195,flagging,124,12788,12787
294,review,100,6516,6515
322,tag-synonym-request,123,4424,4423
485,tag-cleanup-request,229,8140,8139
