Tag,Excerpt,Wiki
firmware,"In electronic systems and computing, firmware is a term often used to denote the fixed, usually rather small, programs and/or data structures that internally control various electronic devices.","<p><p>In general, the difference between software and firmware is the level at which it interacts with the hardware. Firmware interacts at the very low level of the hardware while software interacts at high levels. Firmware generally controls the basic timing, controls and functionality of hardware. <a href=""http://en.wikipedia.org/wiki/Firmware"" rel=""nofollow noreferrer"">source</a></p>

<p>Typical example of firmware are the BIOS, coreboot and EFI programs in a motherboard.</p>
"
upgrade,"DO NOT USE THIS TAG. It has been retired. Instead, use the appropriate tag for whatever you are upgrading. See: http://meta.superuser.com/q/8567/76571",
networking,"For questions on connecting devices together so that they can communicate with each other, as well as questions on networking equipment such as routers and switches.","<p>Questions on networking are related to how to connect two or more devices such as computers, printers, routers, modems etc. They typically involve networking equipment like routers, switches, etc.  Most computer networks are <a href=""http://en.wikipedia.org/wiki/Packet_switching"" rel=""nofollow noreferrer"">packet-switched</a>, with the most notable implementation being the <a href=""http://en.wikipedia.org/wiki/Internet_Protocol_Suite"" rel=""nofollow noreferrer"">TCP/IP protocol suite</a> used to implement most of the Internet.</p>

<p>Read more about <a href=""http://en.wikipedia.org/wiki/Computer_network"" rel=""nofollow noreferrer"">computer networks on Wikipedia</a>.</p>

<h2>See also</h2>

<ul>
<li><a href=""/questions/tagged/wireless-networking"" class=""post-tag"" title=""show questions tagged &#39;wireless-networking&#39;"" rel=""tag"">wireless-networking</a></li>
<li><a href=""/questions/tagged/router"" class=""post-tag"" title=""show questions tagged &#39;router&#39;"" rel=""tag"">router</a></li>
<li><a href=""/questions/tagged/switch"" class=""post-tag"" title=""show questions tagged &#39;switch&#39;"" rel=""tag"">switch</a></li>
<li><a href=""/questions/tagged/lan"" class=""post-tag"" title=""show questions tagged &#39;lan&#39;"" rel=""tag"">lan</a></li>
<li><a href=""/questions/tagged/ethernet"" class=""post-tag"" title=""show questions tagged &#39;ethernet&#39;"" rel=""tag"">ethernet</a></li>
</ul>
"
audio,"For questions about the recording and playback of speech and music on your computer, as well as for problems about the sound component of videos.","<p>Virtually, all computers have the ability to output sounds, either via an internal speaker, via 3.5mm, or USB connectors to headphones, external speakers and even hi-fi equipment.</p>

<p>To record sounds, you need either a microphone or a line in connection and software to capture the sound.</p>
"
video,"Questions about video editing, streaming, conversion, capturing or video output. Use a more specific tag if possible.","<p>This tag is very broad and refers to many things. Use a more specific tag available, as indicated.</p>

<ul>
<li><a href=""/questions/tagged/graphics-card"" class=""post-tag"" title=""show questions tagged &#39;graphics-card&#39;"" rel=""tag"">graphics-card</a></li>
<li><a href=""/questions/tagged/video-editing"" class=""post-tag"" title=""show questions tagged &#39;video-editing&#39;"" rel=""tag"">video-editing</a></li>
<li><a href=""/questions/tagged/video-streaming"" class=""post-tag"" title=""show questions tagged &#39;video-streaming&#39;"" rel=""tag"">video-streaming</a></li>
<li><a href=""/questions/tagged/video-conversion"" class=""post-tag"" title=""show questions tagged &#39;video-conversion&#39;"" rel=""tag"">video-conversion</a></li>
<li><a href=""/questions/tagged/video-capture"" class=""post-tag"" title=""show questions tagged &#39;video-capture&#39;"" rel=""tag"">video-capture</a></li>
<li><a href=""/questions/tagged/video-encoding"" class=""post-tag"" title=""show questions tagged &#39;video-encoding&#39;"" rel=""tag"">video-encoding</a></li>
</ul>

<p>Other topics include:</p>

<ul>
<li>video output</li>
<li>display adapters used to drive computer monitors</li>
</ul>
"
motherboard,The motherboard or mainboard is the central printed circuit board (PCB) in many modern computers and holds many of the crucial components of the system.,"<p>The motherboard or mainboard is also referred to as mainboard, system board, the mobo or, in Apple devices, the logic board.</p>

<p>The motherboard provides connectors for all peripherals, holds amongst other things the RAM, CPU and the BIOS.</p>

<p>A typical motherboard schematic from <a href=""http://en.wikipedia.org/wiki/File:Motherboard_diagram.svg"" rel=""nofollow noreferrer"">Wikipedia</a>:</p>

<p><img src=""https://i.stack.imgur.com/HXpSY.png"" alt=""A typical motherboard schematic""></p>
"
bios,"The BIOS (basic input/output system) of an IBM-compatible PC is a ROM which performs the POST (power-on self-test), initializes the peripheral devices, and provides a basic firmware interface.","<p>The BIOS (basic input/output system) of an IBM-compatible PC is a ROM which performs the POST (power-on self-test), initializes the peripheral devices, and provides a basic firmware interface.</p>

<p>Unified Extensible Firmware Interface (UEFI) was designed as a successor to BIOS, aiming to address its technical shortcomings. As of 2014, new PC hardware predominantly ships with UEFI firmware.</p>

<p>See also</p>

<ul>
<li><a href=""/questions/tagged/boot"" class=""post-tag"" title=""show questions tagged &#39;boot&#39;"" rel=""tag"">boot</a></li>
<li><a href=""/questions/tagged/bootloader"" class=""post-tag"" title=""show questions tagged &#39;bootloader&#39;"" rel=""tag"">bootloader</a></li>
<li><a href=""/questions/tagged/startup"" class=""post-tag"" title=""show questions tagged &#39;startup&#39;"" rel=""tag"">startup</a></li>
<li><a href=""/questions/tagged/efi"" class=""post-tag"" title=""show questions tagged &#39;efi&#39;"" rel=""tag"">efi</a></li>
</ul>
"
memory,"RAM (random access memory), either RAM hardware or software and operating system use of RAM.","<p>Today, random-access memory takes the form of integrated circuits. RAM is normally associated with volatile types of memory (such as DRAM memory modules), where stored information is lost if power is removed, although many efforts have been made to develop non-volatile RAM chips. Other types of non-volatile memory exist that allow random access for read operations, but either do not allow write operations or have limitations on them. These include most types of ROM and a type of flash memory called NOR-Flash.</p>

<p>Some examples of memory are as follows:</p>

<ul>
<li><a href=""http://en.wikipedia.org/wiki/Random-access_memory"" rel=""nofollow noreferrer"">RAM</a> (Random Access Memory)</li>
<li><a href=""http://en.wikipedia.org/wiki/Read-only_memory"" rel=""nofollow noreferrer"">ROM</a> (Read Only Memory)</li>
<li><a href=""http://en.wikipedia.org/wiki/EEPROM"" rel=""nofollow noreferrer"">EEPROM</a>  (Electronically Erasable Programmable Read Only Memory)</li>
</ul>

<p>In contrast, direct-access data storage media types include technologies such as </p>

<ul>
<li><a href=""http://en.wikipedia.org/wiki/Flash_memory"" rel=""nofollow noreferrer"">Flash</a> </li>
<li><a href=""http://en.wikipedia.org/wiki/Hard_disk_drive"" rel=""nofollow noreferrer"">Hard Disk Drives</a></li>
</ul>
"
windows,"For questions not specific to a single version of Microsoft Windows. Otherwise, use a more specific tag such as [windows-7] or [windows-10].","<p>If your problem only happens when using a specific release, or you're only looking for help under a single version of Windows, use that tag instead.</p>

<p><img src=""https://i.stack.imgur.com/u46on.jpg"" alt=""Microsoft Windows Logo""></p>

<p>This general tag includes, but is not limited to, issues that happen across:</p>

<h2>Consumer Windows versions:</h2>

<ul>
<li><a href=""/questions/tagged/windows-95"" class=""post-tag"" title=""show questions tagged &#39;windows-95&#39;"" rel=""tag"">windows-95</a></li>
<li><a href=""/questions/tagged/windows-98"" class=""post-tag"" title=""show questions tagged &#39;windows-98&#39;"" rel=""tag"">windows-98</a></li>
<li><a href=""/questions/tagged/windows-2000"" class=""post-tag"" title=""show questions tagged &#39;windows-2000&#39;"" rel=""tag"">windows-2000</a></li>
<li><a href=""/questions/tagged/windows-xp"" class=""post-tag"" title=""show questions tagged &#39;windows-xp&#39;"" rel=""tag"">windows-xp</a></li>
<li><a href=""/questions/tagged/windows-vista"" class=""post-tag"" title=""show questions tagged &#39;windows-vista&#39;"" rel=""tag"">windows-vista</a></li>
<li><a href=""/questions/tagged/windows-7"" class=""post-tag"" title=""show questions tagged &#39;windows-7&#39;"" rel=""tag"">windows-7</a></li>
<li><a href=""/questions/tagged/windows-8"" class=""post-tag"" title=""show questions tagged &#39;windows-8&#39;"" rel=""tag"">windows-8</a></li>
<li><a href=""/questions/tagged/windows-8.1"" class=""post-tag"" title=""show questions tagged &#39;windows-8.1&#39;"" rel=""tag"">windows-8.1</a></li>
<li><a href=""/questions/tagged/windows-10"" class=""post-tag"" title=""show questions tagged &#39;windows-10&#39;"" rel=""tag"">windows-10</a></li>
</ul>

<h2>Windows server versions:</h2>

<ul>
<li><a href=""/questions/tagged/windows-server"" class=""post-tag"" title=""show questions tagged &#39;windows-server&#39;"" rel=""tag"">windows-server</a></li>
<li><a href=""/questions/tagged/windows-server-2000"" class=""post-tag"" title=""show questions tagged &#39;windows-server-2000&#39;"" rel=""tag"">windows-server-2000</a></li>
<li><a href=""/questions/tagged/windows-server-2003"" class=""post-tag"" title=""show questions tagged &#39;windows-server-2003&#39;"" rel=""tag"">windows-server-2003</a></li>
<li><a href=""/questions/tagged/windows-server-2008"" class=""post-tag"" title=""show questions tagged &#39;windows-server-2008&#39;"" rel=""tag"">windows-server-2008</a></li>
<li><a href=""/questions/tagged/windows-server-2008-r2"" class=""post-tag"" title=""show questions tagged &#39;windows-server-2008-r2&#39;"" rel=""tag"">windows-server-2008-r2</a></li>
<li><a href=""/questions/tagged/windows-server-2012"" class=""post-tag"" title=""show questions tagged &#39;windows-server-2012&#39;"" rel=""tag"">windows-server-2012</a></li>
<li><a href=""/questions/tagged/windows-server-2012-r2"" class=""post-tag"" title=""show questions tagged &#39;windows-server-2012-r2&#39;"" rel=""tag"">windows-server-2012-r2</a></li>
<li><a href=""/questions/tagged/windows-sbs"" class=""post-tag"" title=""show questions tagged &#39;windows-sbs&#39;"" rel=""tag"">windows-sbs</a></li>
<li><a href=""/questions/tagged/windows-home-server"" class=""post-tag"" title=""show questions tagged &#39;windows-home-server&#39;"" rel=""tag"">windows-home-server</a></li>
</ul>

<h2>Windows Mobile/Phone versions:</h2>

<ul>
<li><a href=""/questions/tagged/windows-mobile"" class=""post-tag"" title=""show questions tagged &#39;windows-mobile&#39;"" rel=""tag"">windows-mobile</a></li>
<li><a href=""/questions/tagged/windows-phone"" class=""post-tag"" title=""show questions tagged &#39;windows-phone&#39;"" rel=""tag"">windows-phone</a></li>
<li><a href=""/questions/tagged/windows-ce"" class=""post-tag"" title=""show questions tagged &#39;windows-ce&#39;"" rel=""tag"">windows-ce</a></li>
</ul>
"
linux,"A family of Unix-like operating systems using the Linux kernel. If your question is about a certain distribution only, use a more specific tag.","<p><img src=""https://i.stack.imgur.com/6SRRl.png"" alt=""Tux""></p>

<p>The name ""Linux"" originates from the Linux kernel, originally written in 1991 by Linus Torvalds. The main supporting system tools and libraries from the GNU Project (announced in 1983 by Richard Stallman) are the basis for the Free Software Foundation's preferred name GNU/Linux.</p>

<p>Linux is used on a broad range of computer hardware, including: microcomputers, mainframes, mobile phones, supercomputers, tablet computers, game consoles, set top boxes, and routers. Linux is packaged as a <em>distribution</em> which typically includes the kernel itself and all the various utilities, libraries and applications intended for that particular distribution. It is of note that in most cases, the underlying source code is both free and open source.</p>

<h2>Popular Distributions</h2>

<p>Most Linux questions on Super User are  about …</p>

<ul>
<li><a href=""/questions/tagged/ubuntu"" class=""post-tag"" title=""show questions tagged &#39;ubuntu&#39;"" rel=""tag"">ubuntu</a></li>
<li><a href=""/questions/tagged/linux-mint"" class=""post-tag"" title=""show questions tagged &#39;linux-mint&#39;"" rel=""tag"">linux-mint</a></li>
<li><a href=""/questions/tagged/debian"" class=""post-tag"" title=""show questions tagged &#39;debian&#39;"" rel=""tag"">debian</a></li>
<li><a href=""/questions/tagged/fedora"" class=""post-tag"" title=""show questions tagged &#39;fedora&#39;"" rel=""tag"">fedora</a></li>
<li><a href=""/questions/tagged/arch-linux"" class=""post-tag"" title=""show questions tagged &#39;arch-linux&#39;"" rel=""tag"">arch-linux</a></li>
<li><a href=""/questions/tagged/centos"" class=""post-tag"" title=""show questions tagged &#39;centos&#39;"" rel=""tag"">centos</a></li>
</ul>
"
